2024-09-26 11:56:45.352 | INFO     | __main__:soma:5 - 1
2024-09-26 11:56:45.356 | INFO     | __main__:soma:6 - 2
2024-09-26 11:56:45.356 | INFO     | __main__:soma:7 - 3
2024-09-26 11:56:53.302 | INFO     | __main__:soma:9 - 1
2024-09-26 11:56:53.305 | INFO     | __main__:soma:10 - 2
2024-09-26 11:56:53.305 | INFO     | __main__:soma:11 - 3
2024-09-26 11:57:23.334 | INFO     | __main__:soma:9 - 1
2024-09-26 11:57:23.337 | INFO     | __main__:soma:10 - 2
2024-09-26 11:57:23.337 | INFO     | __main__:soma:11 - 3
2024-09-26 11:57:23.338 | INFO     | __main__:soma:9 - 1
2024-09-26 11:57:23.338 | INFO     | __main__:soma:10 - 2
2024-09-26 11:57:23.338 | INFO     | __main__:soma:11 - 3
